Body Angle,Head Angle,Distance,Signal Strength
71,20,0,3269
72,20,0,3277
73,20,0,3258
74,20,0,3279
75,20,0,3268
76,20,0,3260
77,20,0,3259
78,20,0,3266
79,20,0,3263
80,20,0,3262
81,20,0,3264
82,20,0,3271
83,20,0,3269
84,20,0,3268
85,20,0,3272
86,20,0,3272
87,20,0,3262
88,20,0,3258
89,20,0,3260
90,20,0,3258
91,20,0,3248
92,20,0,3257
93,20,0,3262
94,20,0,3260
95,20,0,3258
96,20,0,3258
97,20,0,3253
98,20,0,3250
99,20,0,3256
100,20,0,3257
101,20,0,3251
102,20,0,3265
103,20,0,3270
104,20,0,3262
105,20,0,3277
106,20,0,3265
107,20,0,3259
108,20,0,3268
109,20,0,3269
110,20,0,3278
111,20,0,3278
112,20,0,3273
113,20,0,3279
114,20,0,3275
115,20,0,3279
116,20,0,3274
117,20,0,3279
118,20,0,3286
119,20,0,3270
120,20,0,3284
121,20,0,3276
122,20,0,3268
123,20,0,3279
124,20,0,3281
125,20,0,3287
126,20,0,3282
127,20,0,3268
128,20,0,3273
129,20,0,3271
130,20,0,3276
131,20,0,3280
132,20,0,3273
133,20,0,3262
134,20,0,3271
135,20,0,3284
136,20,0,3275
137,20,0,3268
138,20,0,3262
139,20,0,3275
140,20,0,3274
141,20,0,3291
142,20,0,3276
143,20,0,3281
144,20,0,3275
145,20,0,3276
146,20,0,3280
147,20,0,3273
148,20,0,3278
149,20,0,3280
150,20,0,3277
151,20,0,3272
152,20,0,3272
153,20,0,3275
154,20,0,3269
155,20,0,3285
156,20,0,3271
157,20,0,3268
158,20,0,3274
159,20,0,3268
160,20,0,3272
161,20,0,3268
162,20,0,3268
163,20,0,3272
164,20,0,3268
165,20,0,3279
166,20,0,3274
167,20,0,3282
168,20,0,3282
169,20,0,3285
170,20,0,3278
171,20,0,3284
172,20,0,3282
173,20,0,3293
174,20,0,3274
175,20,0,3273
176,20,0,3277
177,20,0,3279
178,20,0,3282
179,20,0,3273
180,20,0,3266
180,30,0,3274
179,30,0,3278
178,30,0,3276
177,30,0,3279
176,30,0,3267
175,30,0,3271
174,30,0,3282
173,30,0,3272
172,30,0,3281
171,30,0,3274
170,30,0,3276
169,30,0,3285
168,30,0,3280
167,30,0,3277
166,30,0,3285
165,30,0,3273
164,30,0,3269
163,30,0,3276
162,30,0,3280
161,30,0,3272
160,30,0,3264
159,30,0,3266
158,30,0,3256
157,30,0,3272
156,30,0,3280
155,30,0,3275
154,30,0,3272
153,30,0,3285
152,30,0,3279
151,30,0,3271
150,30,0,3275
149,30,0,3281
148,30,0,3279
147,30,0,3279
146,30,0,3279
145,30,0,3281
144,30,0,3280
143,30,0,3280
142,30,0,3281
141,30,0,3280
140,30,0,3275
139,30,0,3279
138,30,0,3275
137,30,0,3275
136,30,0,3269
135,30,0,3274
134,30,0,3284
133,30,0,3282
132,30,0,3280
131,30,0,3273
130,30,0,3276
129,30,0,3270
128,30,0,3278
127,30,0,3281
126,30,0,3265
125,30,0,3276
124,30,0,3267
123,30,0,3274
122,30,0,3278
121,30,0,3273
120,30,0,3275
119,30,0,3279
118,30,0,3276
117,30,0,3270
116,30,0,3279
115,30,0,3270
114,30,0,3276
113,30,0,3271
112,30,0,3280
111,30,0,3269
110,30,0,3268
109,30,0,3272
108,30,0,3274
107,30,0,3268
106,30,0,3267
105,30,0,3264
104,30,0,3272
103,30,0,3273
102,30,0,3270
101,30,0,3266
100,30,0,3276
99,30,0,3274
98,30,0,3264
97,30,0,3269
96,30,0,3278
95,30,0,3275
94,30,0,3273
93,30,0,3272
92,30,0,3277
91,30,0,3278
90,30,0,3282
89,30,0,3287
88,30,0,3285
87,30,0,3277
86,30,0,3289
85,30,0,3281
84,30,0,3284
83,30,0,3280
82,30,0,3281
81,30,0,3273
80,30,0,3278
79,30,0,3273
78,30,0,3281
77,30,0,3277
76,30,0,3292
75,30,0,3287
74,30,0,3284
73,30,0,3279
72,30,0,3283
71,30,0,3285
70,30,0,3275
69,30,0,3285
68,30,0,3281
67,30,0,3279
66,30,0,3277
65,30,0,3276
64,30,0,3273
63,30,0,3293
62,30,0,3286
61,30,0,3282
60,30,0,3273
59,30,0,3284
